time_diff_seconds,-0.008463995451265114,,,,,,,,,,1.0,-0.008932335008858936,-0.008928719085988268,-0.008931833734198884,-0.008907615929462567,-0.008839579388500824,0.0011357461145588576,-0.008918084126978526,-0.008494971894262366,-0.00893179394492139,-0.008884092153800035,-0.0023114817115096943,-0.008903385730045052,-0.008513946947004886,-0.008927560774476637,-0.008897750439001163,-0.004659341352687213,-0.008894559486398204,-0.008518845480559107,-0.008918342588872592,-0.008776709000881863,-0.008844879727714392,-0.00888099946858425,0.01225337831880272,7.710130727238677e-05,1.1823384957075787e-05,0.0006694139229638592
lag_1,0.9992615578244851,,,,,,,,,,-0.008932335008858936,1.0,0.9990065044580847,0.999064382857392,0.9985281113006524,0.9996828534263045,0.6430437931753188,0.9992328280938705,0.999401038067444,0.9996293682239874,0.9995407577977153,0.7292143347833472,0.9988693578444531,0.9993272576994481,0.9994844258129013,0.9992380769643178,0.7955185528751264,0.9982330816538159,0.999135753854331,0.9991443651140626,0.9997084682961364,0.9996177502055223,0.999396877253976,-0.019103869754382854,-0.00019281228594051315,-0.019219486735768395,0.038781997008640906
lag_3,0.9992132948521939,,,,,,,,,,-0.008928719085988268,0.9990065044580847,1.0,0.9990064772593201,0.9987615436102701,0.9996680917168209,0.6385079482706535,0.9993576116707386,0.9992520212759901,0.9996140206434473,0.9996074792418957,0.7263803429871042,0.999000820552509,0.9992317174511426,0.9995896890049598,0.9993524946474162,0.7942129861503927,0.9983805096970928,0.9991043957579663,0.9992750788300463,0.9995788360658909,0.999605791272922,0.9994647199271177,0.005615796814867535,-0.00019158696074183696,0.0055316458619161565,0.03849831997974247
lag_5,0.9989349311154035,,,,,,,,,,-0.008931833734198884,0.999064382857392,0.9990064772593201,1.0,0.9989349830431901,0.9994123137394673,0.63651185343239,0.9992350296872144,0.9990057273139213,0.9993315978186441,0.9996050052289731,0.7228395680678894,0.9991112321645481,0.9991110769292191,0.9996254028183555,0.9994386634675259,0.7923206391006468,0.9985196989478965,0.9990546740147078,0.9993946586076942,0.9994409774478081,0.9995553272486005,0.9994981790375217,-0.0031808495072508684,-0.00019201948322781774,-0.003278697680171283,0.03774233748618346
lag_10,0.9984854016977373,,,,,,,,,,-0.008907615929462567,0.9985281113006524,0.9987615436102701,0.9989349830431901,1.0,0.9989686293897653,0.6367015934393297,0.9987451209486362,0.9985471732660347,0.9988879045782286,0.9992613349269956,0.7173348575886294,0.9990955253186641,0.9986671752400456,0.9991813740012597,0.9994921231647177,0.7865113034348624,0.9987821003050574,0.9988373251277585,0.9995399117490306,0.9989874853502884,0.9992483408172678,0.9994138472565234,-0.000911250130464579,-0.00019190657263856486,-0.0010073847746751394,0.03638722705057651
rolling_mean_5,0.9996559776209853,,,,,,,,,,-0.008839579388500824,0.9996828534263045,0.9996680917168209,0.9994123137394673,0.9989686293897653,1.0,0.6409917448576192,0.9996308938637887,0.9996624803996375,0.9999536526157173,0.999910003189881,0.7278856718349569,0.999278411303692,0.999617293449392,0.9998768179585161,0.9996371012359243,0.7950434938214397,0.9986516452051837,0.9994602766610389,0.99955347662932,0.9999787876015689,0.9999470258970604,0.9997700261243527,-0.0009085563516256116,-0.0001919724660298823,-0.0010217024625003678,0.03879842162143816
rolling_std_5,0.6448517502057323,,,,,,,,,,0.0011357461145588576,0.6430437931753188,0.6385079482706535,0.63651185343239,0.6367015934393297,0.6409917448576192,1.0,0.6207178788087953,0.6599344467043481,0.6410086525677876,0.6390141059885918,0.9244613702702298,0.6195461396730215,0.658909115196475,0.6379388460210106,0.6381285525700765,0.8138463490852241,0.6195690790135997,0.6569529289026722,0.6377004432635337,0.6418407249506471,0.6401299095400326,0.6389835299804647,0.04730406221274324,-0.00012026457390057402,0.04620169005961048,0.026926967708665452
rolling_min_5,0.9991607449255605,,,,,,,,,,-0.008918084126978526,0.9992328280938705,0.9993576116707386,0.9992350296872144,0.9987451209486362,0.9996308938637887,0.6207178788087953,1.0,0.9986793007473577,0.9995375655203801,0.9996217556456362,0.7117523146307071,0.9996771648804359,0.9986598528095874,0.999613903876259,0.9993784309199089,0.7841894262558469,0.9990321577333884,0.9985608492342688,0.9993027246621667,0.999588330657341,0.9996186135815964,0.9994819769993865,-0.002095851181594748,-0.0001919790906257384,-0.0022020661768785447,0.03868971960273005
rolling_max_5,0.999446423045391,,,,,,,,,,-0.008494971894262366,0.999401038067444,0.9992520212759901,0.9990057273139213,0.9985471732660347,0.9996624803996375,0.6599344467043481,0.9986793007473577,1.0,0.9995740273105918,0.9995311615397603,0.7423899035090823,0.9982951552161535,0.9999159446247863,0.999458062734773,0.999243707891269,0.8046374460348839,0.9976799550088752,0.9996968693676158,0.9991448608976454,0.9996724204992974,0.9995968669051362,0.9993961986310342,0.00098652527044966,-0.00019180621009499458,0.0008168763833818753,0.038778653246427874
rolling_median_5,0.9996013428603384,,,,,,,,,,-0.00893179394492139,0.9996293682239874,0.9996140206434473,0.9993315978186441,0.9988879045782286,0.9999536526157173,0.6410086525677876,0.9995375655203801,0.9995740273105918,1.0,0.9998485593294725,0.7281044216096657,0.9991880208436149,0.9995368813209244,0.9998337296171413,0.9995684897511757,0.795162161146397,0.9985639060817179,0.9993836131691516,0.9994933209513028,0.9999272197060617,0.9998892273517144,0.9997053076031018,-0.0009386152710148598,-0.0001919599855832647,-0.0010338849436708347,0.03882933020473287
rolling_mean_10,0.9994814791773455,,,,,,,,,,-0.008884092153800035,0.9995407577977153,0.9996074792418957,0.9996050052289731,0.9992613349269956,0.999910003189881,0.6390141059885918,0.9996217556456362,0.9995311615397603,0.9998485593294725,1.0,0.7240517918693102,0.9995134062676617,0.999571202829571,0.9999669671022681,0.9998411018667112,0.7927563063810721,0.9989272209394444,0.9995005856694251,0.9998003423430606,0.9999061869643755,0.9999812294375143,0.9999089718411049,-0.0017563886717105158,-0.00019203169487988029,-0.0018613597750531375,0.037989851455317226
rolling_std_10,0.7300370707424364,,,,,,,,,,-0.0023114817115096943,0.7292143347833472,0.7263803429871042,0.7228395680678894,0.7173348575886294,0.7278856718349569,0.9244613702702298,0.7117523146307071,0.7423899035090823,0.7281044216096657,0.7240517918693102,1.0,0.7033352366206703,0.7428397052005342,0.7240688502621193,0.721011256454518,0.9159938784773841,0.7019715065927848,0.740927908009246,0.7194515759558485,0.7278281825562157,0.7252842056731905,0.7227560355044115,0.02152581878558179,-0.00013800182921518735,0.020778579229945936,0.03119428190226735
